Anglo China Sourcing Ltd,Anglo China Sourcing Ltd,United Kingdom,info@anglochinasourcing.biz,Langham Barn Business Centre Langham Lane Langham Essex CO4 5ZS United Kingdom,+44 1206 273687,+44 1206 273687
Antares Ltd,Antares Ltd,Bulgaria,antares@antares.bg,135 Lipnik Blvd Rousse Rousse 7013 Bulgaria,+359 82 841985,+359 82 841986
Atlas Paint Brushes and Accessories,Atlas Paint Brushes and Accessories,Brazil,cesarco@pinceisatlas.com.br,BR116 - KM258 Esteio Rio Grande do Sul 93270-000 Brazil,+55 51 34585800,55 - 51 - 34585800
Attenborough Brush Ltd,Attenborough Brush Ltd,United Kingdom,info@attenborough.com,Viscosa House George Street Nottingham Notts NG1 3BN United Kingdom,+44 115 9473562,+44 115 9509086
Bee Gee Brushes,Bee Gee Brushes,United Kingdom,richard@beegeebrushes.com,Unit 2a Saxon Park Industrial Estate Hanbury Road Stoke Prior Bromsgrove Worcs B60 4AD United Kingdom,+44 1527 837001,+44 1527 837001
Brush Expert Ltd,Brush Expert Ltd,United Kingdom,info@brushexpert.com,PO Box 1288 Crawley West Sussex RH10 0NB United Kingdom,+44 (0) 1604 648401,
Brush Technology Limited (Brushtec),Brush Technology Limited (Brushtec),United Kingdom,info@brushtec.com,3 Throckley Industrial Estate Westway Industrial Park Throckley Newcastle upon Tyne Tyne & Wear NE15 9EW United Kingdom,+44 1912 291666,+44 1912 291777
Cascade Products Ltd,Cascade Products Ltd,United Kingdom,info@cascadeproductsltd.com,20 Cross Street Enderby Leicester Leicestershire LE19 4NJ United Kingdom,+44 116 286 2260,+44 115 275 0449
Cepillos La Iberica SA,Cepillos La Iberica SA,Spain,leopardo@leopardo.net,Rua do Telleiro 15 Ponte Noalla San Cibrao das Vinas Ourense 32915 Spain,+34 98 8223050,+34 98 8251677
Charles Bentley & Son Ltd,Charles Bentley & Son Ltd,United Kingdom,michael.prime@bentleybrushware.co.uk,Central House Monarch Way Loughborough Leicestershire LE11 5TP United Kingdom,+44 1509 232757,+44 1509 233861
